,ethnicity,name,address,price_level,rating
0,chinese,Tattu Restaurant and Bar,"18 Barwick St, Birmingham",3,4.3
1,cuban,Revolución de Cuba Birmingham,"8 Temple St, Birmingham",2,4.4
2,czech,Syriana Restaurant,"1 Constitution Hill, Birmingham",2,4.3
3,french,Hotel du Vin Birmingham,"25 Church St, Birmingham",,
4,german,German Doner Kebab,"84 Bull St, Birmingham",2,4.1
5,greek,Ionic Catering,"310 Summer Ln, Birmingham",,
6,haitian,Bukka Kitchen,"St George's Community Hub, 40 Great Hampton Row, Birmingham",,
7,hungarian,Saint Pauls House,"15-20 St Paul's Square, Birmingham",,
8,indian,Hen & Chickens,"27 Constitution Hill, Birmingham",1,4.4
9,indonesian,Wok&Go - Aston University,"Aston St, Birmingham",,
10,irish,The Alchemist Colmore Row,"THE GRAND, Colmore Row, Birmingham",3,4.4
11,israeli,Syriana Restaurant,"1 Constitution Hill, Birmingham",2,4.3
12,italian,The Birmingham Pizza Company,"31 Manchester St, Birmingham",,
13,japanese,Kodawari,"60 Hampton St, Birmingham",,
14,jewish,Deli Heaven,"22 Caroline St, Birmingham",,
15,korean,Filthy Wings,"GRILLER KITCHENS A1-A3 MILLER STREET BUISINESS CENTRE, Birmingham",,
16,lebanese,Syriana Restaurant,"1 Constitution Hill, Birmingham",2,4.3
17,mexican,Paco's,"Miller St, Birmingham",,
18,new american,Bun Meats Chicken,"31 Manchester St, Birmingham",,
19,pakistani,Khan Palace,"26 Moat Ln, Birmingham",,
20,polish,The Karczma Restaurant,"Polish Millennium House, Bordesley St, Birmingham",2,4.5
21,russian,Syriana Restaurant,"1 Constitution Hill, Birmingham",2,4.3
22,scandinavian,Restaurant Folium,"8 Caroline St, Birmingham",3,4.8
23,scottish,Celebz,"203 Corporation St, Birmingham",2,3.9
24,soul food,Glorious Catering & Restaurant,"Unit 3, 310 Summer Ln, Birmingham",1,3.8
25,spanish,Locanta italian restaurant,"31 Ludgate Hill, Birmingham",2,4.4
26,thai,Zen Metro,"73 Cornwall St, Birmingham",2,4.4
27,turkish,City pizza & Kebab House,"29 Constitution Hill, Birmingham",1,3.5
28,ukrainian,Slovianka Polish & Ukrainian cuisine,"83 Far Gosford St, Coventry",2,4.4
29,vietnamese,The Birmingham Pizza Company,"31 Manchester St, Birmingham",,
