rank,restaurant_name,location,address,ratings,lat_long,lat,long,link
1,Fraiche,Birkenhead,"11 Rose Mount, Oxton, Birkenhead, CH43 5SG",4.8,"(53.38200, -3.043080)",53.382,-3.04308,https://www.leadingrestaurants.co.uk/restaurants/fraiche-ch43-5sg/
2,The Five Fields,London,"8-9 Blacklands Terrace, London, SW3 2SP",4.7,"(51.4917193, -0.1612992)",51.4917193,-0.1612992,https://www.leadingrestaurants.co.uk/restaurants/the-five-fields-sw3-2sp/
3,Mana,Manchester,"42 Blossom Street, Ancoats, Manchester, M4 6BF",4.7,"(53.4848285, -2.2279954)",53.4848285,-2.2279954,https://www.leadingrestaurants.co.uk/restaurants/mana-m4-6bf/
4,Restaurant Sat Bains,Nottingham,"Lenton Lane, Trentside, Nottingham, NG7 2SA",4.7,"(52.92526, -1.16777)",52.92526,-1.16777,https://www.leadingrestaurants.co.uk/restaurants/restaurant-sat-bains-ng7-2sa/
5,Moor Hall,Ormskirk,"Prescot Road, Aughton, Ormskirk, L39 6RT",4.8,"( 53.5499659, -2.8990735)",53.5499659,-2.8990735,https://www.leadingrestaurants.co.uk/restaurants/moor-hall-l39-6rt/
6,Hambleton Hall,Oakham,"Hambleton, Oakham, LE15 8TH",4.8,"(52.6573713, -0.6682024)",52.6573713,-0.6682024,https://www.leadingrestaurants.co.uk/restaurants/hambleton-hall-le15-8th/
7,The Ledbury,London,"127 Ledbury Road, London, W11 2AQ",4.7,"(51.5166794, -0.2000637)",51.5166794,-0.2000637,https://www.leadingrestaurants.co.uk/restaurants/the-ledbury-w11-2aq/
8,Kitchen Table,London,"70 Charlotte St, London, W1T 4QG",4.6,"(51.5207557, -0.1370935)",51.5207557,-0.1370935,https://www.leadingrestaurants.co.uk/restaurants/kitchen-table-w1t-4qg/
9,Core by Clare Smyth,London,"92 Kensington Park Road, London, W11 2PN",4.7,"(51.5127194, -0.2031072)",51.5127194,-0.2031072,https://www.leadingrestaurants.co.uk/restaurants/core-by-clare-smyth-w11-2pn/
10,Casamia,Bristol,"The General, Lower Guinea Street, Bristol, BS1 6FU",4.8,"(51.4472332, -2.5940292)",51.4472332,-2.5940292,https://www.leadingrestaurants.co.uk/restaurants/casamia-bs9-3dz/
